Symbol|Name
OIBR3.SA|Oi S.A.
FNOR11.SA|Finor -Ci Fund
VVAR3.SA|Via Varejo S.A.
COGN3.SA|Cogna Educação S.A.
BBDC4.SA|Banco Bradesco S.A.
PETR4.SA|Petróleo Brasileiro S.A. - Petrobras
HGTX3.SA|Cia. Hering
USIM5.SA|Usinas Siderúrgicas de Minas Gerais S.A.
ITUB4.SA|Itaú Unibanco Holding S.A.
IRBR3.SA|IRB-Brasil Resseguros S.A.
MGLU3.SA|Magazine Luiza S.A.
ABEV3.SA|Ambev S.A.
FNAM11.SA|Fundo de Investimento Amazônia - FINAM
ITSA4.SA|Itaúsa - Investimentos Itaú SA
BRML3.SA|BR Malls Participações S.A.
VALE3.SA|Vale S.A.
SOMA3.SA|Grupo de Moda SOMA S.A.
B3SA3.SA|B3 S.A. - Brasil, Bolsa, Balcão
CIEL3.SA|Cielo S.A.
AMAR3.SA|Marisa Lojas S.A.
PETR3.SA|Petróleo Brasileiro S.A. - Petrobras
JBSS3.SA|JBS S.A.
CSNA3.SA|Companhia Siderúrgica Nacional
GGPS3.SA|
GGBR4.SA|Gerdau S.A.
BBAS3.SA|Banco do Brasil S.A.
GOAU4.SA|Metalurgica Gerdau S.A.
GOLL4.SA|Gol Linhas Aéreas Inteligentes S.A.
LREN3.SA|Lojas Renner S.A.
BPAN4.SA|Banco Pan S.A.
EMBR3.SA|Embraer S.A.
CVCB3.SA|CVC Brasil Operadora e Agência de Viagens S.A.
BBDC3.SA|Banco Bradesco S.A.
POSI3.SA|Positivo Tecnologia S.A.
BBSE3.SA|BB Seguridade Participações S.A.
TPIS3.SA|Triunfo Participações e Investimentos S.A.
MRFG3.SA|Marfrig Global Foods S.A.
CMIN3.SA|CSN Mineração S.A.
BEEF3.SA|Minerva S.A.
BRFS3.SA|BRF S.A.
LAME4.SA|Lojas Americanas S.A.
HAPV3.SA|Hapvida Participações e Investimentos S.A.
ENEV3.SA|Eneva S.A.
NTCO3.SA|Natura &Co Holding S.A.
CCRO3.SA|CCR S.A.
RAIL3.SA|Rumo S.A.
BRDT3.SA|Petrobras Distribuidora S.A.
CEAB3.SA|C&A Modas S.A.
BOVA11.SA|iShares Ibovespa Index Fund
TCSA3.SA|Tecnisa S.A.
LWSA3.SA|Locaweb Serviços de Internet S.A.
BKBR3.SA|BK Brasil Operação e Assessoria a Restaurantes S.A.
MULT3.SA|Multiplan Empreendimentos Imobiliários S.A.
CPLE6.SA|Companhia Paranaense de Energia - COPEL
SUZB3.SA|Suzano S.A.
POMO4.SA|Marcopolo S.A.
GMAT3.SA|Grupo Mateus S.A.
PTBL3.SA|PBG S.A.
TIMS3.SA|TIM S.A.
JHSF3.SA|JHSF Participações S.A.
CMIG4.SA|Companhia Energética de Minas Gerais
EQTL3.SA|Equatorial Energia S.A.
ELET3.SA|Centrais Elétricas Brasileiras S.A. - Eletrobrás
PCAR3.SA|Companhia Brasileira de Distribuição
MEAL3.SA|International Meal Company Alimentação S.A.
CYRE3.SA|Cyrela Brazil Realty S.A. Empreendimentos e Participações
MRVE3.SA|MRV Engenharia e Participações S.A.
KLBN11.SA|Klabin S.A.
GFSA3.SA|Gafisa S.A.
AZUL4.SA|Azul S.A.
BRKM5.SA|Braskem S.A.
ETER3.SA|Eternit S.A.
WEGE3.SA|WEG S.A.
HYPE3.SA|Hypera S.A.
BPAC11.SA|Banco BTG Pactual S.A.
PRIO3.SA|Petro Rio S.A.
SAPR4.SA|Companhia de Saneamento do Paraná - SANEPAR
RPMG3.SA|Refinaria de Petróleos de Manguinhos S.A.
ROMI3.SA|Indústrias Romi S.A.
DMMO3.SA|Dommo Energia S.A.
CRFB3.SA|Atacadão S.A.
TOTS3.SA|TOTVS S.A.
WIZS3.SA|Wiz Soluções e Corretagem de Seguros S.A.
STBP3.SA|Santos Brasil Participações S.A.
UGPA3.SA|Ultrapar Participações S.A.
HASH11.SA|Hashdex Nasdaq Crypto Index Fundo De Indice
RADL3.SA|Raia Drogasil S.A.
BRAP4.SA|Bradespar S.A.
TECN3.SA|Technos S.A.
NGRD3.SA|Neogrid Participações S.A.
RANI3.SA|Irani Papel e Embalagem S.A.
BOVV11.SA|It Now Ibovespa Fundo de Indice
ENBR3.SA|EDP - Energias do Brasil S.A.
PETZ3.SA|Pet Center Comércio e Participações S.A.
LUPA3.SA|Lupatech S.A.
HBOR3.SA|Helbor Empreendimentos S.A.
SANB11.SA|Banco Santander (Brasil) S.A.
EZTC3.SA|EZTEC Empreendimentos e Participações S.A.
SULA11.SA|Sul América S.A.
ANIM3.SA|Anima Holding S.A.
IGTA3.SA|Iguatemi Empresa de Shopping Centers S.A.
RENT3.SA|Localiza Rent a Car S.A.
QUAL3.SA|Qualicorp Consultoria e Corretora de Seguros S.A.
PGMN3.SA|Empreendimentos Pague Menos S.A.
CESP6.SA|CESP - Companhia Energética de São Paulo
CSAN3.SA|Cosan S.A.
GNDI3.SA|Notre Dame Intermédica Participações S.A.
MILS3.SA|Mills Estruturas e Serviços de Engenharia S.A.
AERI3.SA|Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A.
ECOR3.SA|EcoRodovias Infraestrutura e Logística S.A.
HBSA3.SA|Hidrovias do Brasil S.A.
LCAM3.SA|Companhia de Locação das Américas
OIBR4.SA|Oi S.A.
MYPK3.SA|Iochpe-Maxion S.A.
BRPR3.SA|BR Properties S.A.
GRND3.SA|Grendene S.A.
GUAR3.SA|Guararapes Confecções S.A.
BIDI4.SA|Banco Inter S.A.
YDUQ3.SA|Yduqs Participações S.A.
BRSR6.SA|Banco do Estado do Rio Grande do Sul S.A.
MDIA3.SA|M. Dias Branco S.A. Indústria e Comércio de Alimentos
FLRY3.SA|Fleury S.A.
BTOW3.SA|B2W - Companhia Digital
TUPY3.SA|Tupy S.A.
ESPA3.SA|MPM Corpóreos S.A.
VIVT3.SA|Telefônica Brasil S.A.
LAME3.SA|Lojas Americanas S.A.
PDTC3.SA|Padtec Holding S.A.
ARZZ3.SA|Arezzo Indústria e Comércio S.A.
RCSL4.SA|Recrusul S/A
RAPT4.SA|Randon S.A. Implementos e Participações
TAEE11.SA|Transmissora Aliança de Energia Elétrica S.A.
FHER3.SA|Fertilizantes Heringer S.A.
SBSP3.SA|Companhia de Saneamento Básico do Estado de São Paulo - SABESP
MOVI3.SA|Movida Participações S.A.
ALUP11.SA|Alupar Investimento S.A.
EURP11.SA|Trend ETF MSCI Europa Fundo De Andice
VIVR3.SA|Viver Incorporadora e Construtora S.A.
XINA11.SA|Trend Etf Msci China Fundo De Indice
TASA4.SA|Taurus Armas S.A.
MATD3.SA|Hospital Mater Dei S.A.
ALSO3.SA|Aliansce Sonae Shopping Centers SA
ENAT3.SA|Enauta Participações S.A.
CPFE3.SA|CPFL Energia S.A.
SEQL3.SA|Sequoia Logística e Transportes S.A.
VLID3.SA|Valid Soluções S.A.
RDOR3.SA|Rede D'Or São Luiz S.A.
BIDI11.SA|Banco Inter S.A.
NEOE3.SA|Neoenergia S.A.
RRRP3.SA|3R Petroleum Óleo e Gás S.A.
ELET6.SA|Centrais Elétricas Brasileiras S.A. - Eletrobrás
SAPR11.SA|Companhia de Saneamento do Paraná - SANEPAR
RCSL3.SA|Recrusul S/A
EGIE3.SA|Engie Brasil Energia S.A.
CSMG3.SA|Companhia de Saneamento de Minas Gerais
BMGB4.SA|Banco BMG S.A.
SMTO3.SA|São Martinho S.A.
TRPL4.SA|CTEEP - Companhia de Transmissão de Energia Elétrica Paulista S.A.
PARD3.SA|Instituto Hermes Pardini S.A.
SEER3.SA|Ser Educacional S.A.
EVEN3.SA|Even Construtora e Incorporadora S.A.
PMAM3.SA|Paranapanema S.A.
DTEX3.SA|Duratex S.A.
CAML3.SA|Camil Alimentos S.A.
ENJU3.SA|Enjoei.com.br Atividades de Internet S.A.
LAVV3.SA|Lavvi Empreendimentos Imobiliários S.A.
AGRO3.SA|BrasilAgro - Companhia Brasileira de Propriedades Agrícolas
BMOB3.SA|Bemobi Mobile Tech S.A.
PLPL3.SA|Plano & Plano Desenvolvimento Imobiliário S.A.
BOBR4.SA|Bombril S.A.
CURY3.SA|Cury Construtora e Incorporadora S.A.
SLED4.SA|Saraiva Livreiros S.A. - em Recuperação Judicial
LJQQ3.SA|Lojas Quero-Quero S.A.
OPCT3.SA|OceanPact Serviços Marítimos S.A.
CASH3.SA|Méliuz S.A.
DIRR3.SA|Direcional Engenharia S.A.
JALL3.SA|Jalles Machado S/A
LPSB3.SA|LPS Brasil - Consultoria de Imóveis S.A.
LIGT3.SA|Light S.A.
KLBN4.SA|Klabin S.A.
ENGI11.SA|Energisa S.A.
ALPA4.SA|Alpargatas S.A.
TEND3.SA|Construtora Tenda S.A.
MXRF11.SA|Maxi Renda Fundo De Investimento Imobiliaro - FII
AESB3.SA|AES Brasil Energia S.A.
SHOW3.SA|T4F Entretenimento S.A.
INTB3.SA|Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira
MELK3.SA|Melnick Even Desenvolvimento Imobiliário S.A.
CARE11.SA|Máxima Renda Corporativa Fundo de Investimento Imobiliário - FII
JBDU4.SA|Indústrias J.B. Duarte S.A.
SMLS3.SA|Smiles Fidelidade S.A.
SLCE3.SA|SLC Agrícola S.A.
ASAI3.SA|Sendas Distribuidora S.A.
LINX3.SA|Linx S.A.
BLAU3.SA|Blau Farmacêutica S.A.
EUCA4.SA|Eucatex S.A. Indústria e Comércio
TRIS3.SA|Trisul S.A.
MOSI3.SA|Mosaico Tecnologia ao Consumidor S.A.
SBFG3.SA|Grupo SBF S.A.
LLIS3.SA|Restoque Comércio e Confecções de Roupas S.A.
VULC3.SA|Vulcabras Azaleia S.A.
PFRM3.SA|Profarma Distribuidora de Produtos Farmacêuticos S.A.
PSSA3.SA|Porto Seguro S.A.
ODPV3.SA|Odontoprev S.A.
ABCB4.SA|Banco ABC Brasil S.A.
LOGN3.SA|Log-In Logística Intermodal S.A.
CPLE3.SA|Companhia Paranaense de Energia - COPEL
WEST3.SA|Westwing Comércio Varejista S.A.
BOAS3.SA|Boa Vista Serviços S.A.
CMIG3.SA|Companhia Energética de Minas Gerais
USIM3.SA|Usinas Siderúrgicas de Minas Gerais S.A.
LEVE3.SA|MAHLE Metal Leve S.A.
PNVL3.SA|Dimed S.A. Distribuidora de Medicamentos
SGPS3.SA|Springs Global Participações S.A.
OMGE3.SA|Omega Geração S.A.
ATOM3.SA|Atom Empreendimentos e Participações S.A.
FESA4.SA|Cia de Ferro Ligas da Bahia - FERBASA
UNIP6.SA|Unipar Carbocloro S.A.
VIVA3.SA|Vivara Participações S.A.
SIMH3.SA|SIMPAR S.A.
BBRK3.SA|Brasil Brokers Participações S.A.
TGMA3.SA|Tegma Gestão Logística S.A.
SQIA3.SA|Sinqia S.A.
AALR3.SA|Centro de Imagem Diagnósticos S.A.
MTRE3.SA|Mitre Realty Empreendimentos e Participações S.A.
BEZU39.SA|Ishares Msci Eurozone ETF
SAPR3.SA|Companhia de Saneamento do Paraná - SANEPAR
SLED3.SA|Saraiva Livreiros S.A. - em Recuperação Judicial
SHUL4.SA|Schulz S.A.
IVVB11.SA|iShares S&P 500 Fundo de Investimento - Investimento No Exterior
UCAS3.SA|Unicasa Indústria de Móveis S.A.
XFIX11.SA|Trend Etf Ifix
MMXM3.SA|MMX Mineração e Metálicos S.A.
ITUB3.SA|Itaú Unibanco Holding S.A.
VAMO3.SA|Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.
GPIV33.SA|GP Investments, Ltd.
CCPR3.SA|Cyrela Commercial Properties S.A.
ACWI11.SA|Trend Etf Msci Acwi Fundo De Indice
CARD3.SA|CSU Cardsystem S.A.
GOLD11.SA|Trend Etf Lbma Ouro Fundo Investimento Cotas De Fundo De Andice Investimento Exterior
TCNO4.SA|Tecnosolo Engenharia S.A.
TSLA34.SA|Tesla, Inc.
JSLG3.SA|JSL S.A.
ETER1.SA|ETERNIT DO 10,89
RSID3.SA|Rossi Residencial S.A.
FRAS3.SA|Fras-le S.A.
MELI34.SA|MercadoLibre, Inc.
BEWU39.SA|Ishares Msci United Kingdom Etf
JBDU3.SA|Indústrias J.B. Duarte S.A.
AZEV4.SA|Azevedo & Travassos S.A.
TORD11.SA|Tordesilhas Ei Fundo De Investimento Imobiliario
TCNO3.SA|Tecnosolo Engenharia S.A.
CTNM4.SA|Companhia de Tecidos Norte de Minas
BSEV3.SA|Biosev S.A.
MDNE3.SA|Moura Dubeux Engenharia S.A.
CSED3.SA|Cruzeiro do Sul Educacional S.A.
FIXA11.SA|Mirae Asset Renda Fixa Pre Fundo De Indice
AMBP3.SA|Ambipar Participações e Empreendimentos S.A.
BOVB11.SA|ETF Bradesco Ibovespa Fundo De Indice
BIDI3.SA|Banco Inter S.A.
TAEE4.SA|Transmissora Aliança de Energia Elétrica S.A.
GPCP3.SA|GPC Participações S.A.
JPSA3.SA|Jereissati Participações S.A.
KLBN3.SA|Klabin S.A.
DMVF3.SA|d1000 Varejo Farma Participações S.A.
GGBR3.SA|Gerdau S.A.
DASA3.SA|Diagnósticos da América S.A.
ORVR3.SA|Orizon Valorizacao De Residuos S.A.
LOGG3.SA|LOG Commercial Properties e Participações S.A.
HAGA4.SA|HAGA S/A Indústria e Comércio
AURA33.SA|Aura Minerals Inc.
BEGU39.SA|Ishares Trust Ishares Esg Aware Msci Usa ETF
PRNR3.SA|Priner Serviços Industriais S.A.
KEPL3.SA|Kepler Weber S.A.
PINE4.SA|Banco Pine S.A.
IGBR3.SA|IGB Eletronica S.A.
MSFT34.SA|Microsoft Corporation
PDGR1.SA|PDG REALT DO 6,28
ITSA3.SA|Itaúsa - Investimentos Itaú SA
KNIP11.SA|Kinea Indices Precos Fundo Investimento Imobiliario - FII
MMXM11.SA|MMX Mineração e Metálicos S.A.
AMZO34.SA|Amazon.com, Inc.
ELMD3.SA|Eletromidia S.A.
SMAL11.SA|iShares BM&FBovespa Small Cap Fundo de Índice
SMAC11.SA|It Now Small Cap Fundo De Indice Fund
MWET4.SA|Wetzel S.A.
AAPL34.SA|Apple Inc.
JNJB34.SA|Johnson & Johnson
POMO3.SA|Marcopolo S.A.
KNSC12.SA|FII KINEA SCDM 98,24
ATMP3.SA|ATMA Participações S.A.
DISB34.SA|The Walt Disney Company
PDGR3.SA|PDG Realty S.A. Empreendimentos e Participações
PIBB11.SA|It Now PIBB IBrX-50 Index Fund
GOAU3.SA|Metalurgica Gerdau S.A.
TFCO4.SA|Track & Field Co S.A.
POWE3.SA|Focus Energia Holding Participações S.A.
CPTS11.SA|Capitania Securities II Fundo Investimento Imobiliario FII
AIRB34.SA|Airbnb, Inc.
APER3.SA|Alper Consultoria e Corretora de Seguros S.A.
MBLY3.SA|Mobly S.A.
HBRE3.SA|HBR Realty Empreendimentos Imobiliários S.A.
TAEE3.SA|Transmissora Aliança de Energia Elétrica S.A.
EALT4.SA|Electro Aço Altona S.A.
BABA34.SA|ALIBABAGR DRN
INEP4.SA|Inepar S.A. Indústria e Construções
ALPK3.SA|Allpark Empreendimentos, Participações e Serviços S.A.
CEDO4.SA|Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.
GOGL34.SA|Alphabet Inc.
ENGI4.SA|Energisa S.A.
COCA34.SA|The Coca-Cola Company
DMMO1.SA|DOMMO DO 0,87
BCFF11.SA|Fundo De Investimento Imobiliário - FII BTG Pactual Fundo De Fundos
BBOV11.SA|Bb Etf Ibovespa Fundo De Indice
IMAB11.SA|It Now Id ETF Ima-B Fundo De Indice
FSPE11.SA|Fiset Pesca Fiset Fspe
FLMA11.SA|Unitas DTVM S.A.
XPCI11.SA|Xp Credito Imobiliario ae Fundo De Investimento Imobiliario
VGHF11.SA|Valora Hedge Fund Fundo De Investimento Imobiliario - Fii
RIGG34.SA|Transocean Ltd.
XPLG11.SA|Xp Log Fundo Investimento Imobiliario FII
RAPT3.SA|Randon S.A. Implementos e Participações
FSRF11.SA|Fiset FL Ref
BEES3.SA|Banestes S.A - Banco do Estado do Espírito Santo
INEP3.SA|Inepar S.A. Indústria e Construções
CTSA3.SA|Companhia Tecidos Santanense Ltda.
QAGR11.SA|Quasar Agro - Fundo De Investimento Imobiliario
KNCR11.SA|Kinea Rendimentos Imobiliários Fundo de Investimento Imobiliário - FII
KNSC11.SA|Kinea Securities Fundo De Investimento Imobiliario – Fii
M1RN34.SA|Moderna, Inc.
RNEW4.SA|Renova Energia S.A.
HCTR11.SA|Fundo De Investimento Imobiliario Hectare Ce
PVBI11.SA|Fundo De Investimento ImobiliarRio Vbi Prime Properties
TASA3.SA|Taurus Armas S.A.
NVDC34.SA|NVIDIA Corporation
ALLD3.SA|Allied Tecnologia S.A.
IRDM11.SA|Fundo Investimento Imobiliario Iridium Recebiveis Imobiliarios
HGRU11.SA|CSHG Renda Urbana Fundo Investimento Imobilirio - FII
VISA34.SA|Visa Inc.
FBOK34.SA|Facebook, Inc.
RBRP11.SA|Fundo Investimento Imobiliario Rbr Properties Fii
FEXC12.SA|
BTLG11.SA|BTG Pactual Logística Fundo de Investimento Imobiliário
TRPL3.SA|CTEEP - Companhia de Transmissão de Energia Elétrica Paulista S.A.
SANB3.SA|Banco Santander (Brasil) S.A.
PYPL34.SA|PayPal Holdings, Inc.
XPML11.SA|Xp Malls Fundo Investimentos Imobiliarios
BIYW39.SA|Ishares US Technology ETF
TGAR11.SA|Fundo Investimento Imobiliario Tg Ativo Real
DEVA11.SA|Devant Recebiveis Imobiliarios Fundo De Investimento Imobiliario
SANB4.SA|Banco Santander (Brasil) S.A.
HGLG11.SA|Cshg Logistica - Fundo De Investimento Imobiliario
HOME34.SA|The Home Depot, Inc.
OSXB3.SA|OSX Brasil S.A.
AZEV3.SA|Azevedo & Travassos S.A.
VINO11.SA|Vinci Corporate Fundo De Investimento Imobiliario
PFIZ34.SA|Pfizer Inc.
SPXI11.SA|It Now S&P500 TRN Fundo de Índice
BEWG39.SA|Ishares Msci Germany ETF
CPLE11.SA|
VILG11.SA|Vinci Logistica Fundo Investimento Imobiliario FII
RBRF11.SA|Fundo Investimento Imobiliario Rbr Alpha Fundos De Fundos
NFLX34.SA|Netflix, Inc.
B1NT34.SA|BIONTECH SE DRN
ALUP4.SA|Alupar Investimento S.A.
CVBI11.SA|Fundo De Investimento Imobiliario VBI Credito
XPPR11.SA|Xp Properties Fundo De Investimento Imobiliario
BIEU39.SA|Ishares Core Msci Europe ETF
ITLC34.SA|Intel Corporation
RECT11.SA|Fundo De Investimento Imobiliario - FII UBS Office
RNEW3.SA|Renova Energia S.A.
JSRE11.SA|JS Real Estate multigestão - FII fund
NIKE34.SA|NIKE, Inc.
BRCR11.SA|Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund
COWC34.SA|Costco Wholesale Corporation
BERK34.SA|Berkshire Hathaway Inc.
BAAX39.SA|Ishares Msci All Country Asia Ex Japan ETF
RCFA11.SA|Grupo Rcfa Fundo De Investimento
MCCI11.SA|Fundo De Investimento Imobiliario Maua Capital Recebiveis Imobiliarios
OFSA3.SA|Ouro Fino Saúde Animal Participações S.A.
RECR11.SA|Fundo Investimento Imobiliario Fii Ubs (Br) Recebveis Imobiliarios
SSFO34.SA|salesforce.com, inc.
HFOF11.SA|Hedge Top Fofii 3 Fundo Investimento Imobilirio
CAMB3.SA|Cambuci S.A.
PTNT4.SA|Pettenati S.A. Industria Têxtil
RZTR11.SA|Fundo De Investimento Imobiliario Riza Terrax
C1CL34.SA|Carnival Corporation & plc
Z1OM34.SA|Zoom Video Communications, Inc.
JPMC34.SA|JPMorgan Chase & Co.
MSCD34.SA|Mastercard Incorporated
CTSA4.SA|Companhia Tecidos Santanense Ltda.
WSON33.SA|Wilson Sons Limited
FRTA3.SA|Pomifrutas S/A
HSML11.SA|Hsi Malls Fundo De Investimento Imobiliario
KNRI11.SA|Kinea Renda Imobiliária Fundo de Investimento Imobiliário
BKNG34.SA|Booking Holdings Inc.
BCSA34.SA|SANTANDER DRN
TESA3.SA|Terra Santa Agro S.A.
VISC11.SA|Vinci Shopping Centers Fundo Investimento Imobiliario - Fii
ALUP3.SA|Alupar Investimento S.A.
CMCS34.SA|Comcast Corporation
DOHL4.SA|Döhler S.A.
BRAP3.SA|Bradespar S.A.
RBRR11.SA|Fundo Investimento Imobiliario - FII RBR Rendimento High Grade
ENGI3.SA|Energisa S.A.
SULA4.SA|Sul América S.A.
SULA3.SA|Sul América S.A.
WALM34.SA|Walmart Inc.
BZLI11.SA|Brazil Realty Fundo Investimento Imobiliario
DTCY3.SA|DTCOM - Direct to Company S.A.
CPFF11.SA|Capitania Reit FOF - Fundo De Investimento Imobiliario
HGCR11.SA|CSHG Recebiveis Imobiliarios BC Fundo de Investimento Imobiliario - FII
SCAR3.SA|São Carlos Empreendimentos e Participações S.A.
BRZP11.SA|Brz Infra Portos Fundo De Investimento Em Participacoes Em Infraestrutura
MGFF11.SA|Fundo Investimento Imobiliario Mogno Fundo Fundos
HGRE11.SA|CSHG Real Estate - Fundo de Investimento Imobiliario - FII
B1IL34.SA|Bilibili Inc.
S2QU34.SA|Square, Inc.
BRCO11.SA|Bresco - Fundo De Investimento Imobiliario
BACW39.SA|Ishares Msci Acwi ETF
GEOO34.SA|General Electric Company
VGIP11.SA|Valora Cri Indice De Preco Fundo De Investimento Imobiliario
KNRE11.SA|Kinea II Real Estate Equity Fundo de Investimento Imobiliário
MATB11.SA|It Now IMAT Index Fund
BIOM3.SA|Biomm S.A.
WHRL4.SA|Whirlpool S.A.
XPSF11.SA|XP Selection Fundo De Fundos De Investimento Imobiliario - FII
HABT11.SA|Habitat Ii - Fundo De Investimento Imobiliario
HGFF11.SA|CSHG Imobiliario Fof - Fundo De Investimento Imobiliario - Fii
IMBB11.SA|Etf Bradesco Ima-B Fundo De Indice
MALL11.SA|Malls Brasil Fundo Investimento Imobiliario
UNHH34.SA|UnitedHealth Group Incorporated
GGRC11.SA|Ggr Covipe Renda Fundo Investimento Imobiliario
TRXF11.SA|TRX Renda Fundo Investimento Imobiliario
S1PL34.SA|Splunk Inc.
VIGT11.SA|Vinci Energia Fundo De Investimento Em Participacao Em Infraestrutura
PNVL4.SA|Dimed S.A. Distribuidora de Medicamentos
MNPR3.SA|Minupar Participações S.A.
PEPB34.SA|PepsiCo, Inc.
VRTA11.SA|Fator Veritá Fundo de Investimento Imobiliário - FII
UNIP3.SA|Unipar Carbocloro S.A.
GALG11.SA|Guardian Logistica Fundo De Investimento Imobiliario
BARI11.SA|Fundo De Investimento Imobiliario Barigui Rendimentos Imobiliario I Fii
CGRA4.SA|Grazziotin S.A.
EQPA3.SA|Equatorial Pará Distribuidora de Energia S.A.
EMAE4.SA|Empresa Metropolitana de Águas e Energia S.A.
QCOM34.SA|QUALCOMM Incorporated
U1BE34.SA|Uber Technologies, Inc.
LVBI11.SA|Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund
ENDD11.SA|Endurance Debt Fundo De Investimento Em Participacoes Em Infraestrutura
LVBI11.SA|Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund
ENDD11.SA|Endurance Debt Fundo De Investimento Em Participacoes Em Infraestrutura
KISU11.SA|Kilima Fundo De Investimento Em Cotas De Fundos Imobiliarios Suno 30
CEDO3.SA|Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.
URPR11.SA|Urca Prime Renda Fundo De Investimento Imobiliario - FII
LSXM35.SA|Formula One Group
MCDC34.SA|McDonald's Corporation
BTCR11.SA|Fundo Infestimento Imobiliario Btg Pactual Credito Imobiliario
FSTU11.SA|Fiset Tur
RBFF11.SA|Fator IFIX Fundo Investimento Imobiliario - FII - Cotas Fund
TSMC34.SA|TAIWANSMFAC DRN
SNSY5.SA|Sansuy S.A.
